cohort,pool,n_held_out,n_cells_mature,candidate,null_rejection,null_rejection_mcse,null_stream_min,null_stream_max,null_abstention_rate,null_median_width,n_scored_null,discrimination,discrimination_mcse,draw_reference_inclusion,draw_reference_inclusion_mcse,alt_abstention_rate,alt_median_width,n_scored_alt,width_ratio_vs_percentile,baseline_discrimination,source_verdict,interval_object
kul3,pooled,5,100,patient_cluster,0.25,0.009682458365518542,0.2175,0.295,0.0,3.1821765888385563,2000,0.4495,0.011123168388548292,0.882,0.007213736895673421,0.0,2.1823325940206875,2000,0.890899641493982,0.4275,fails_null,within_patient_over_cells
kul3,pooled,5,100,percentile,0.224,0.009322660564452618,0.18,0.2625,0.0,3.5718687499999984,2000,0.4275,0.011062182198824967,0.962,0.004275277768753747,0.0,2.29508125,2000,1.0,0.4275,fails_null,within_patient_over_cells
kul3,pooled,5,100,pseudobulk_patient_t,0.12,0.0072663608498339805,0.095,0.1475,0.0,5.859509905694983,2000,0.248,0.009656500401284102,0.975,0.003491060010942237,0.0,3.7482145732753755,2000,1.6404605868272695,0.4275,fails_null,within_patient_over_cells
kul3,pooled,5,800,patient_cluster,0.113,0.0070792301841372555,0.0925,0.1375,0.0,2.0593624748557433,2000,0.5365,0.011150510078018852,0.9675,0.00396508196636589,0.0,1.5507516162593957,2000,0.933728919352872,0.493,fails_null,within_patient_over_cells
kul3,pooled,5,800,percentile,0.072,0.005779965397820302,0.0575,0.09,0.0,2.205525,2000,0.493,0.01117924416049672,0.9915,0.0020527725154044657,0.0,1.705537499999999,2000,1.0,0.493,fails_null,within_patient_over_cells
kul3,pooled,5,800,pseudobulk_patient_t,0.044,0.0045860658521220555,0.025,0.0675,0.0,3.2397428831266595,2000,0.2,0.00894427190999916,0.991,0.002111752826445369,0.0,2.697839730447269,2000,1.4689214056184623,0.493,calibrated_but_underpowered,within_patient_over_cells
kul3,reference,2,5,bca,0.6005,0.010952163028370241,0.585,0.6275,0.0,3.854389740379409,2000,0.6755,0.010468995892634595,0.4195,0.011034485715247448,0.0,3.44782055042339,2000,1.037396876316432,0.703,fails_null,within_patient_over_cells
kul3,reference,2,5,patient_cluster,0.6327868852459017,0.013800915956377433,0.6042553191489362,0.6454183266932271,0.39,4.631268381084963,1220,0.7358953393295176,0.01260616044557454,0.5674570727718724,0.014166673528600305,0.3885,4.2070048309178745,1223,1.2464913191284257,0.703,fails_null,within_patient_over_cells
kul3,reference,2,5,percentile,0.6125,0.01089366214824014,0.6025,0.635,0.0,3.7154437499999986,2000,0.703,0.010217411609600545,0.4215,0.01104168805029376,0.0,3.3657500000000002,2000,1.0,0.703,fails_null,within_patient_over_cells
kul3,reference,2,5,pseudobulk_patient_t,0.08360655737704918,0.0079246710093893,0.06276150627615062,0.09561752988047809,0.39,47.90343868930845,1220,0.09566639411283728,0.008410674171834416,0.9599345870809485,0.005607798536041742,0.3885,43.38929769880698,1223,12.893059863793784,0.703,fails_null,within_patient_over_cells
kul3,reference,2,5,studentised,0.5865,0.011011760758389187,0.5725,0.6075,0.0,4.1463557211339435,2000,0.6665,0.010542242408520116,0.4245,0.011052143457266558,0.0,3.62405938609353,2000,1.1159786017844961,0.703,fails_null,within_patient_over_cells
kul3,reference,2,5,welch_t,0.5955,0.010974510239641676,0.58,0.6175,0.0,4.038392859630786,2000,0.678,0.010447870596442128,0.434,0.011082508741255295,0.0,3.4883956324738072,2000,1.08692073716115,0.703,fails_null,within_patient_over_cells
kul3,reference,2,50,bca,0.168,0.008359904305672404,0.145,0.1875,0.0,9.650787545088026,2000,0.408,0.010989449485756782,0.86,0.00775886589650833,0.0,5.024195325544602,2000,1.1929068065184907,0.493,fails_null,within_patient_over_cells
